,SHD,predicted edges,FDR
0,38,38,0.7631578947368421
1,42,43,0.7906976744186046
2,41,44,0.7727272727272727
3,34,39,0.717948717948718
4,30,36,0.6944444444444444
5,25,31,0.6451612903225806
6,26,30,0.6666666666666666
7,29,31,0.7096774193548387
8,36,36,0.7777777777777778
9,38,38,0.7894736842105263
10,38,38,0.7894736842105263
11,39,39,0.7948717948717948
12,42,43,0.813953488372093
13,40,41,0.8048780487804879
14,39,40,0.8
15,37,38,0.7894736842105263
16,35,36,0.7777777777777778
17,36,37,0.7837837837837838
18,34,35,0.7714285714285715
19,34,35,0.7714285714285715
20,32,33,0.7575757575757576
21,33,34,0.7647058823529411
22,33,34,0.7647058823529411
23,30,31,0.7419354838709677
24,31,32,0.75
