,SHD,predicted edges,FDR
0,899,1058,0.9574669187145558
1,865,965,0.9616580310880829
2,808,860,0.9604651162790697
3,769,786,0.9592875318066157
4,679,688,0.9563953488372093
5,323,286,0.9685314685314685
6,957,1213,0.957131079967024
7,904,1081,0.9555966697502313
8,861,974,0.9589322381930184
9,790,846,0.9562647754137116
10,729,743,0.9596231493943472
11,681,683,0.9604685212298683
12,1110,1426,0.9628330995792427
13,1080,1283,0.9641465315666407
14,1054,1193,0.9664710813076278
15,1014,1090,0.9651376146788991
16,964,986,0.9634888438133874
17,929,946,0.9640591966173362
18,288,257,0.953307392996109
19,605,607,0.9522240527182867
20,577,575,0.9530434782608695
21,465,469,0.9360341151385928
22,522,503,0.9642147117296223
23,470,451,0.9600886917960089
24,360,335,0.9552238805970149
25,394,364,0.9642857142857143
26,308,316,0.9018987341772152
27,270,286,0.8776223776223776
28,127,157,0.7388535031847133
29,78,106,0.6226415094339622
30,78,108,0.6203703703703703
31,80,110,0.6272727272727273
32,82,110,0.6363636363636364
33,80,112,0.625
34,81,113,0.6283185840707964
35,75,107,0.6074766355140186
