,SHD,predicted edges,FDR
0,24,26,0.7307692307692307
1,26,34,0.7647058823529411
2,26,30,0.8
3,23,27,0.7407407407407407
4,23,26,0.7307692307692307
5,22,23,0.6956521739130435
6,20,21,0.6190476190476191
7,18,16,0.5625
8,18,14,0.5714285714285714
9,19,15,0.6
10,20,16,0.625
11,19,14,0.5714285714285714
12,18,15,0.5333333333333333
13,19,16,0.5625
14,18,15,0.5333333333333333
15,19,16,0.5625
16,19,16,0.5625
17,19,16,0.5625
18,20,17,0.5882352941176471
19,19,16,0.5625
20,17,14,0.5
21,17,14,0.5
22,17,14,0.5
23,17,14,0.5
24,18,13,0.5384615384615384
25,17,14,0.5
26,16,13,0.46153846153846156
27,16,13,0.46153846153846156
