,SHD,predicted edges,FDR
0,38,23,0.6521739130434783
1,34,18,0.5555555555555556
2,32,19,0.47368421052631576
3,29,15,0.3333333333333333
4,32,18,0.4444444444444444
5,31,15,0.4
6,28,16,0.3125
7,29,15,0.3333333333333333
8,30,16,0.375
9,29,17,0.35294117647058826
10,30,18,0.3888888888888889
11,28,16,0.3125
12,27,17,0.29411764705882354
13,29,17,0.35294117647058826
14,30,18,0.3888888888888889
15,30,18,0.3888888888888889
16,32,16,0.4375
17,32,16,0.4375
18,32,16,0.4375
19,35,17,0.5294117647058824
20,33,15,0.4666666666666667
21,33,15,0.4666666666666667
22,34,16,0.5
23,33,15,0.4666666666666667
