,SHD,predicted edges,FDR
0,5,11,0.45454545454545453
1,13,17,0.7058823529411765
2,54,87,0.9425287356321839
3,52,83,0.9397590361445783
4,51,79,0.9367088607594937
5,51,75,0.96
6,50,77,0.935064935064935
7,47,68,0.9264705882352942
8,43,59,0.9322033898305084
9,45,56,0.9285714285714286
10,34,37,0.9459459459459459
11,34,31,1.0
12,55,100,0.93
13,55,100,0.93
14,55,100,0.93
15,55,100,0.93
16,55,100,0.93
17,55,100,0.93
18,55,100,0.93
19,55,100,0.93
20,55,100,0.93
21,55,100,0.93
22,55,100,0.93
23,55,100,0.93
24,55,100,0.93
25,55,100,0.93
26,55,100,0.93
27,55,100,0.93
28,55,100,0.93
29,55,100,0.93
30,55,100,0.93
31,55,100,0.93
32,55,100,0.93
33,55,100,0.93
34,55,100,0.93
35,55,100,0.93
36,55,100,0.93
37,55,100,0.93
38,55,100,0.93
39,55,100,0.93
40,55,100,0.93
41,55,100,0.93
42,55,100,0.93
43,55,100,0.93
44,55,100,0.93
45,55,100,0.93
46,55,100,0.93
47,55,100,0.93
48,55,100,0.93
49,55,100,0.93
