,SHD,predicted edges,FDR
0,265,266,0.9699248120300752
1,237,230,0.9652173913043478
2,236,241,0.941908713692946
3,373,422,0.9620853080568721
4,338,359,0.958217270194986
5,313,316,0.9651898734177216
6,241,236,0.961864406779661
7,103,90,0.9333333333333333
8,70,73,0.7945205479452054
9,160,148,0.9391891891891891
10,133,132,0.8939393939393939
11,72,86,0.7558139534883721
12,47,61,0.6557377049180327
13,42,58,0.6206896551724138
14,37,57,0.5789473684210527
15,39,57,0.5964912280701754
16,42,60,0.6166666666666667
17,40,60,0.6
18,43,63,0.6190476190476191
19,42,62,0.6129032258064516
20,42,58,0.6206896551724138
21,40,56,0.6071428571428571
22,41,57,0.6140350877192983
23,38,54,0.5925925925925926
24,38,54,0.5925925925925926
25,36,52,0.5769230769230769
26,36,52,0.5769230769230769
27,33,49,0.5510204081632653
