,SHD,predicted edges,FDR
0,293,309,0.941747572815534
1,264,265,0.939622641509434
2,179,160,0.95625
3,81,60,0.9
4,12,38,0.23684210526315788
5,186,184,0.9184782608695652
6,53,53,0.6981132075471698
7,66,70,0.7428571428571429
8,174,161,0.9440993788819876
9,75,76,0.7894736842105263
10,211,211,0.9241706161137441
11,159,149,0.9261744966442953
12,148,141,0.9078014184397163
13,68,81,0.7283950617283951
14,42,57,0.5964912280701754
15,43,58,0.603448275862069
16,43,58,0.603448275862069
17,44,59,0.6101694915254238
18,44,59,0.6101694915254238
19,43,58,0.603448275862069
20,44,59,0.6101694915254238
21,44,59,0.6101694915254238
22,40,55,0.5818181818181818
