,SHD,predicted edges,FDR
0,10,16,0.5625
1,9,19,0.47368421052631576
2,8,17,0.4117647058823529
3,6,15,0.3333333333333333
4,5,14,0.2857142857142857
5,7,14,0.35714285714285715
6,4,11,0.18181818181818182
7,3,10,0.1
8,5,10,0.2
9,6,11,0.2727272727272727
10,6,11,0.2727272727272727
11,6,11,0.2727272727272727
12,6,13,0.3076923076923077
13,6,13,0.3076923076923077
14,6,13,0.3076923076923077
15,7,14,0.35714285714285715
16,7,14,0.35714285714285715
17,8,15,0.4
18,8,15,0.4
19,8,15,0.4
20,8,15,0.4
21,8,15,0.4
22,8,15,0.4
23,8,15,0.4
