,SHD,predicted edges,FDR
0,20,18,0.2777777777777778
1,20,20,0.3
2,18,20,0.25
3,16,21,0.23809523809523808
4,15,21,0.19047619047619047
5,18,22,0.2727272727272727
6,24,24,0.4166666666666667
7,24,24,0.4166666666666667
8,27,25,0.48
9,28,26,0.5
10,27,25,0.48
11,27,25,0.48
12,28,28,0.5
13,27,29,0.4827586206896552
14,27,30,0.5
15,32,31,0.5806451612903226
16,31,34,0.5588235294117647
17,31,34,0.5588235294117647
18,31,32,0.5625
19,29,30,0.5333333333333333
20,30,29,0.5517241379310345
21,31,28,0.5714285714285714
22,33,30,0.6
23,35,32,0.625
24,35,30,0.6333333333333333
