,SHD,predicted edges,FDR
0,39,32,0.90625
1,22,14,0.5714285714285714
2,11,13,0.23076923076923078
3,12,16,0.3125
4,14,17,0.35294117647058826
5,13,18,0.3333333333333333
6,14,19,0.3684210526315789
7,15,20,0.4
8,16,21,0.42857142857142855
9,16,21,0.42857142857142855
10,15,20,0.4
11,18,25,0.48
12,20,25,0.52
13,20,25,0.52
14,21,26,0.5384615384615384
15,20,25,0.52
16,18,23,0.4782608695652174
17,18,21,0.47619047619047616
18,19,20,0.5
19,20,25,0.52
20,20,23,0.5217391304347826
21,19,22,0.5
22,20,21,0.5238095238095238
23,21,22,0.5454545454545454
24,21,22,0.5454545454545454
25,21,22,0.5454545454545454
