,SHD,predicted edges,FDR
0,25,33,0.6666666666666666
1,22,29,0.6551724137931034
2,19,26,0.6153846153846154
3,17,21,0.5714285714285714
4,14,17,0.47058823529411764
5,14,17,0.47058823529411764
6,15,18,0.5
7,13,16,0.4375
8,14,13,0.46153846153846156
9,13,12,0.4166666666666667
10,12,11,0.36363636363636365
11,12,11,0.36363636363636365
12,11,11,0.2727272727272727
13,11,11,0.2727272727272727
14,9,9,0.1111111111111111
15,9,9,0.1111111111111111
16,10,10,0.2
17,11,11,0.2727272727272727
18,11,11,0.2727272727272727
19,11,11,0.2727272727272727
20,11,11,0.2727272727272727
21,11,11,0.2727272727272727
22,11,11,0.2727272727272727
23,11,11,0.2727272727272727
