,SHD,predicted edges,FDR
0,33,18,0.0
1,33,20,0.05
2,30,21,0.0
3,31,22,0.045454545454545456
4,31,24,0.08333333333333333
5,32,23,0.08695652173913043
6,32,23,0.08695652173913043
7,34,23,0.13043478260869565
8,32,23,0.08695652173913043
9,33,24,0.125
10,34,23,0.13043478260869565
11,34,23,0.13043478260869565
12,34,23,0.13043478260869565
13,34,23,0.13043478260869565
14,35,24,0.16666666666666666
15,36,23,0.17391304347826086
16,35,24,0.16666666666666666
17,34,23,0.13043478260869565
18,34,23,0.13043478260869565
19,35,22,0.13636363636363635
20,35,24,0.16666666666666666
21,36,23,0.17391304347826086
22,35,22,0.13636363636363635
23,35,22,0.13636363636363635
24,34,23,0.13043478260869565
