,SHD,predicted edges,FDR
0,14,30,0.43333333333333335
1,209,400,0.9525
2,209,400,0.9525
3,209,400,0.9525
4,209,400,0.9525
5,209,400,0.9525
6,209,400,0.9525
7,209,400,0.9525
8,209,400,0.9525
9,209,400,0.9525
10,209,400,0.9525
11,209,400,0.9525
12,209,400,0.9525
13,209,400,0.9525
14,209,400,0.9525
15,209,400,0.9525
16,209,400,0.9525
17,209,400,0.9525
18,209,400,0.9525
19,209,400,0.9525
20,209,400,0.9525
21,209,400,0.9525
22,209,400,0.9525
23,209,400,0.9525
24,209,400,0.9525
25,209,400,0.9525
26,209,400,0.9525
27,209,400,0.9525
28,209,400,0.9525
29,209,400,0.9525
30,209,400,0.9525
31,209,400,0.9525
32,209,400,0.9525
33,209,400,0.9525
34,209,400,0.9525
35,209,400,0.9525
36,209,400,0.9525
37,209,400,0.9525
38,209,400,0.9525
39,209,400,0.9525
40,209,400,0.9525
41,209,400,0.9525
42,209,400,0.9525
43,209,400,0.9525
44,209,400,0.9525
45,209,400,0.9525
46,209,400,0.9525
47,209,400,0.9525
48,209,400,0.9525
49,209,400,0.9525
