,SHD,predicted edges,FDR
0,48,34,0.7058823529411765
1,42,26,0.6153846153846154
2,45,31,0.6774193548387096
3,42,29,0.6551724137931034
4,45,27,0.7407407407407407
5,41,24,0.6666666666666666
6,41,26,0.6538461538461539
7,42,29,0.6551724137931034
8,42,29,0.6551724137931034
9,42,29,0.6551724137931034
10,40,27,0.6296296296296297
11,40,27,0.6296296296296297
12,40,27,0.6296296296296297
13,39,26,0.6153846153846154
14,38,25,0.6
15,38,24,0.5833333333333334
16,39,25,0.6
17,40,26,0.6153846153846154
18,42,28,0.6428571428571429
19,41,27,0.6296296296296297
20,41,27,0.6296296296296297
21,38,22,0.5909090909090909
22,35,19,0.5263157894736842
23,38,22,0.5909090909090909
24,35,19,0.5263157894736842
25,36,16,0.5625
