,SHD,predicted edges,FDR
0,56,59,0.711864406779661
1,54,56,0.6964285714285714
2,54,57,0.7017543859649122
3,56,57,0.7192982456140351
4,49,51,0.6862745098039216
5,57,55,0.7454545454545455
6,58,54,0.7592592592592593
7,65,58,0.8103448275862069
8,72,63,0.8412698412698413
9,68,62,0.8064516129032258
10,69,62,0.8064516129032258
11,71,62,0.8225806451612904
12,77,69,0.8405797101449275
13,79,69,0.855072463768116
14,77,69,0.8405797101449275
15,79,71,0.8450704225352113
16,78,70,0.8428571428571429
17,81,73,0.8493150684931506
18,79,71,0.8450704225352113
19,76,70,0.8285714285714286
20,73,66,0.8181818181818182
21,78,72,0.8333333333333334
22,70,63,0.8095238095238095
23,71,64,0.8125
24,69,62,0.8064516129032258
25,63,53,0.7924528301886793
