,SHD,predicted edges,FDR
0,34,28,0.17857142857142858
1,29,25,0.04
2,25,29,0.034482758620689655
3,27,31,0.0967741935483871
4,26,32,0.09375
5,24,32,0.0625
6,25,33,0.09090909090909091
7,26,32,0.09375
8,26,34,0.11764705882352941
9,24,38,0.13157894736842105
10,25,37,0.13513513513513514
11,25,37,0.13513513513513514
12,27,37,0.16216216216216217
13,27,37,0.16216216216216217
14,25,39,0.15384615384615385
15,26,40,0.175
16,29,41,0.21951219512195122
17,31,41,0.24390243902439024
18,32,38,0.23684210526315788
19,33,37,0.24324324324324326
20,34,38,0.2631578947368421
21,35,37,0.2702702702702703
22,34,38,0.2631578947368421
23,33,37,0.24324324324324326
24,33,37,0.24324324324324326
