,SHD,predicted edges,FDR
0,1148,1615,0.9839009287925696
1,1135,1536,0.984375
2,1123,1449,0.9834368530020704
3,1110,1365,0.9846153846153847
4,1103,1288,0.984472049689441
5,1087,1218,0.9844006568144499
6,1054,1142,0.9842381786339754
7,1013,1062,0.9868173258003766
8,1167,1471,0.9782460910944936
9,1154,1391,0.9784327821711
10,1137,1326,0.978129713423831
11,1085,1201,0.9783513738551207
12,1016,1064,0.9793233082706767
13,952,962,0.9812889812889813
14,942,947,0.9820485744456178
15,794,800,0.9775
16,298,291,0.9553264604810997
17,86,86,0.8255813953488372
18,53,63,0.6984126984126984
19,30,41,0.5609756097560976
20,32,42,0.5714285714285714
21,34,46,0.6086956521739131
22,33,44,0.5909090909090909
23,34,46,0.6086956521739131
24,34,46,0.6086956521739131
25,33,45,0.6
26,34,46,0.6086956521739131
27,34,46,0.6086956521739131
28,34,46,0.6086956521739131
29,33,45,0.6
30,33,45,0.6
31,33,45,0.6
