,SHD,predicted edges,FDR
0,18,33,0.3333333333333333
1,10,28,0.17857142857142858
2,10,30,0.2
3,12,30,0.23333333333333334
4,11,29,0.20689655172413793
5,20,32,0.375
6,24,37,0.4594594594594595
7,27,40,0.5
8,25,38,0.47368421052631576
9,21,38,0.42105263157894735
10,23,40,0.45
11,24,41,0.4634146341463415
12,26,43,0.4883720930232558
13,26,43,0.4883720930232558
14,25,44,0.4772727272727273
15,30,49,0.5306122448979592
16,31,50,0.54
17,31,50,0.54
18,31,50,0.54
19,29,48,0.5208333333333334
20,30,49,0.5306122448979592
21,30,49,0.5306122448979592
22,32,51,0.5490196078431373
23,32,51,0.5490196078431373
