,SHD,predicted edges,FDR
0,59,58,0.7586206896551724
1,61,60,0.75
2,59,58,0.7758620689655172
3,63,62,0.7903225806451613
4,69,64,0.828125
5,71,68,0.8235294117647058
6,71,65,0.8307692307692308
7,72,66,0.8333333333333334
8,74,66,0.8484848484848485
9,74,65,0.8461538461538461
10,76,69,0.8405797101449275
11,75,68,0.8382352941176471
12,78,71,0.8450704225352113
13,80,73,0.8493150684931506
14,76,73,0.821917808219178
15,70,67,0.8059701492537313
16,71,68,0.8088235294117647
17,74,71,0.8169014084507042
18,74,69,0.8260869565217391
19,74,69,0.8260869565217391
20,72,67,0.8208955223880597
21,73,68,0.8235294117647058
22,67,62,0.8064516129032258
23,65,58,0.8103448275862069
24,65,60,0.8
25,61,54,0.7962962962962963
