,SHD,predicted edges,FDR
0,65,64,0.78125
1,64,62,0.7903225806451613
2,63,61,0.8032786885245902
3,70,68,0.8382352941176471
4,70,67,0.835820895522388
5,73,66,0.8636363636363636
6,69,62,0.8548387096774194
7,71,63,0.8571428571428571
8,73,64,0.859375
9,73,64,0.859375
10,75,67,0.8656716417910447
11,77,67,0.8805970149253731
12,79,73,0.863013698630137
13,80,74,0.8648648648648649
14,79,73,0.863013698630137
15,74,68,0.8529411764705882
16,74,68,0.8529411764705882
17,76,70,0.8571428571428571
18,74,68,0.8529411764705882
19,71,64,0.84375
20,74,68,0.8529411764705882
21,68,61,0.8360655737704918
22,69,58,0.8620689655172413
23,70,59,0.864406779661017
24,64,49,0.8775510204081632
