,SHD,predicted edges,FDR
0,4,12,0.4166666666666667
1,10,12,0.6666666666666666
2,7,11,0.5454545454545454
3,4,8,0.375
4,3,9,0.3333333333333333
5,3,7,0.2857142857142857
6,3,7,0.2857142857142857
7,3,7,0.2857142857142857
8,3,7,0.2857142857142857
9,3,7,0.2857142857142857
10,3,7,0.2857142857142857
11,3,7,0.2857142857142857
12,3,7,0.2857142857142857
13,3,7,0.2857142857142857
14,3,7,0.2857142857142857
15,3,7,0.2857142857142857
16,3,7,0.2857142857142857
17,3,7,0.2857142857142857
18,3,7,0.2857142857142857
19,3,7,0.2857142857142857
20,3,7,0.2857142857142857
21,3,7,0.2857142857142857
22,3,7,0.2857142857142857
