,SHD,predicted edges,FDR
0,1180,1926,0.980269989615784
1,1173,1885,0.979840848806366
2,1165,1832,0.9798034934497817
3,1157,1769,0.9796495195025439
4,1145,1708,0.9789227166276346
5,1129,1642,0.9799025578562729
6,1114,1566,0.9802043422733078
7,1095,1500,0.9806666666666667
8,1086,1446,0.9813278008298755
9,1067,1361,0.9801616458486407
10,1044,1284,0.9797507788161994
11,1020,1222,0.9803600654664485
12,985,1149,0.979982593559617
13,951,1064,0.9821428571428571
14,899,969,0.9824561403508771
15,838,854,0.9824355971896955
16,729,728,0.9793956043956044
17,255,250,0.944
18,153,149,0.8926174496644296
19,663,656,0.9817073170731707
20,337,327,0.963302752293578
21,167,165,0.896969696969697
22,186,186,0.8978494623655914
23,196,195,0.9128205128205128
24,160,162,0.8765432098765432
25,174,173,0.8959537572254336
26,506,502,0.9681274900398407
27,175,176,0.8920454545454546
28,169,159,0.9182389937106918
29,503,492,0.975609756097561
30,451,441,0.9705215419501134
31,206,206,0.9077669902912622
32,174,173,0.8959537572254336
33,207,190,0.9526315789473684
34,184,178,0.9101123595505618
35,573,565,0.9769911504424779
36,194,192,0.90625
37,205,202,0.9158415841584159
38,468,459,0.9694989106753813
39,554,547,0.9744058500914077
40,197,194,0.9123711340206185
41,426,417,0.9688249400479616
42,626,619,0.9789983844911146
43,215,212,0.9245283018867925
44,206,197,0.9289340101522843
45,267,251,0.9561752988047809
46,178,176,0.9034090909090909
47,569,559,0.9749552772808586
48,196,194,0.9072164948453608
49,188,184,0.9130434782608695
