,SHD,predicted edges,FDR
0,56,68,0.7205882352941176
1,101,106,0.8584905660377359
2,386,486,0.9670781893004116
3,360,410,0.9658536585365853
4,336,363,0.9641873278236914
5,314,323,0.9659442724458205
6,292,293,0.9658703071672355
7,261,255,0.9686274509803922
8,257,249,0.9718875502008032
9,362,397,0.964735516372796
10,350,366,0.9617486338797814
11,323,331,0.9607250755287009
12,285,292,0.9554794520547946
13,214,210,0.9523809523809523
14,136,133,0.9172932330827067
15,37,48,0.625
16,18,31,0.3870967741935484
17,22,39,0.46153846153846156
18,35,54,0.5925925925925926
19,39,58,0.6206896551724138
20,39,56,0.625
21,40,57,0.631578947368421
22,41,58,0.6379310344827587
23,40,57,0.631578947368421
24,43,60,0.65
25,42,59,0.6440677966101694
26,38,55,0.6181818181818182
27,37,54,0.6111111111111112
28,34,49,0.5918367346938775
29,37,54,0.6111111111111112
30,35,50,0.6
31,36,53,0.6037735849056604
32,31,46,0.5652173913043478
33,34,49,0.5918367346938775
