,SHD,predicted edges,FDR
0,409,688,0.9156976744186046
1,403,651,0.9170506912442397
2,398,626,0.9153354632587859
3,393,602,0.915282392026578
4,387,582,0.915807560137457
5,381,552,0.9166666666666666
6,374,529,0.9168241965973535
7,369,498,0.9136546184738956
8,361,466,0.9141630901287554
9,358,434,0.9147465437788018
10,348,398,0.9170854271356784
11,358,395,0.9265822784810127
12,328,338,0.9319526627218935
13,269,274,0.927007299270073
14,209,202,0.9306930693069307
15,170,158,0.9240506329113924
16,396,582,0.9261168384879725
17,387,501,0.9281437125748503
18,372,440,0.925
19,344,380,0.9157894736842105
20,344,370,0.9351351351351351
21,302,307,0.9348534201954397
22,299,313,0.9233226837060703
23,212,197,0.9441624365482234
24,126,102,0.9313725490196079
25,59,25,0.92
26,398,541,0.922365988909427
27,388,504,0.9265873015873016
28,389,479,0.9290187891440501
29,369,419,0.9284009546539379
30,386,540,0.9259259259259259
31,370,470,0.9276595744680851
32,340,368,0.9320652173913043
33,264,269,0.9256505576208178
34,263,262,0.9351145038167938
35,274,286,0.9125874125874126
36,177,167,0.9161676646706587
37,243,238,0.9327731092436975
38,357,425,0.9270588235294117
39,323,332,0.9397590361445783
40,317,324,0.941358024691358
41,389,607,0.9176276771004942
42,385,578,0.9152249134948097
43,381,551,0.9147005444646098
44,375,526,0.9125475285171103
45,366,494,0.9068825910931174
46,352,451,0.9046563192904656
47,346,422,0.9123222748815166
48,334,394,0.9111675126903553
49,322,352,0.9147727272727273
