,SHD,predicted edges,FDR
0,22,25,0.76
1,20,23,0.7391304347826086
2,21,22,0.7727272727272727
3,16,15,0.7333333333333333
4,11,14,0.5714285714285714
5,11,12,0.5833333333333334
6,9,10,0.5
7,8,9,0.4444444444444444
8,8,7,0.42857142857142855
9,7,8,0.375
10,6,7,0.2857142857142857
11,5,6,0.16666666666666666
12,6,5,0.2
13,4,7,0.14285714285714285
14,4,7,0.14285714285714285
15,4,7,0.14285714285714285
16,4,7,0.14285714285714285
17,5,6,0.16666666666666666
18,5,6,0.16666666666666666
19,5,6,0.16666666666666666
20,5,6,0.16666666666666666
21,5,6,0.16666666666666666
22,5,6,0.16666666666666666
23,5,6,0.16666666666666666
