,SHD,predicted edges,FDR
0,21,20,0.45
1,21,18,0.4444444444444444
2,21,13,0.46153846153846156
3,21,12,0.5
4,20,13,0.46153846153846156
5,21,14,0.5
6,20,13,0.46153846153846156
7,21,14,0.5
8,21,14,0.5
9,21,14,0.5
10,21,14,0.5
11,23,16,0.5625
12,24,15,0.6
13,24,15,0.6
14,23,14,0.5714285714285714
15,23,14,0.5714285714285714
16,22,15,0.5333333333333333
17,22,15,0.5333333333333333
18,22,15,0.5333333333333333
19,23,16,0.5625
20,24,17,0.5882352941176471
21,23,16,0.5625
22,24,17,0.5882352941176471
23,24,15,0.6
24,23,16,0.5625
