,SHD,predicted edges,FDR
0,154,120,0.9333333333333333
1,190,165,0.9333333333333333
2,161,138,0.9130434782608695
3,158,138,0.9057971014492754
4,160,137,0.9124087591240876
5,160,136,0.9191176470588235
6,165,138,0.927536231884058
7,166,137,0.9343065693430657
8,164,130,0.9461538461538461
9,161,129,0.937984496124031
10,161,127,0.9448818897637795
11,154,121,0.9338842975206612
12,155,122,0.9344262295081968
13,152,119,0.9327731092436975
14,149,117,0.9316239316239316
15,149,117,0.9316239316239316
16,150,118,0.9322033898305084
17,150,118,0.9322033898305084
18,151,119,0.9327731092436975
19,143,110,0.9272727272727272
20,140,107,0.9252336448598131
21,137,104,0.9230769230769231
22,141,110,0.9181818181818182
23,130,97,0.9175257731958762
24,136,105,0.9142857142857143
25,127,94,0.9148936170212766
26,128,95,0.9157894736842105
