,SHD,predicted edges,FDR
0,24,20,0.55
1,22,17,0.5294117647058824
2,21,14,0.5
3,19,14,0.42857142857142855
4,19,14,0.42857142857142855
5,17,12,0.3333333333333333
6,17,12,0.3333333333333333
7,16,11,0.2727272727272727
8,16,13,0.3076923076923077
9,15,12,0.25
10,15,12,0.25
11,17,12,0.3333333333333333
12,17,12,0.3333333333333333
13,17,12,0.3333333333333333
14,17,12,0.3333333333333333
15,17,12,0.3333333333333333
16,18,13,0.38461538461538464
17,18,13,0.38461538461538464
18,19,12,0.4166666666666667
19,18,13,0.38461538461538464
20,19,12,0.4166666666666667
21,19,12,0.4166666666666667
22,19,12,0.4166666666666667
