,SHD,predicted edges,FDR
0,51,32,0.75
1,47,27,0.7037037037037037
2,43,22,0.5909090909090909
3,38,18,0.5
4,33,17,0.35294117647058826
5,33,19,0.3684210526315789
6,32,16,0.3125
7,30,16,0.25
8,31,17,0.29411764705882354
9,28,16,0.1875
10,28,16,0.1875
11,27,15,0.13333333333333333
12,26,16,0.125
13,27,15,0.13333333333333333
14,27,15,0.13333333333333333
15,28,14,0.14285714285714285
16,29,13,0.15384615384615385
17,29,13,0.15384615384615385
18,29,13,0.15384615384615385
19,29,13,0.15384615384615385
20,29,13,0.15384615384615385
21,29,13,0.15384615384615385
22,29,13,0.15384615384615385
23,29,13,0.15384615384615385
24,29,13,0.15384615384615385
25,29,13,0.15384615384615385
