,SHD,predicted edges,FDR
0,24,24,0.7083333333333334
1,22,24,0.6666666666666666
2,21,25,0.64
3,21,23,0.6521739130434783
4,22,23,0.6521739130434783
5,20,20,0.6
6,19,19,0.5789473684210527
7,19,19,0.5789473684210527
8,21,19,0.631578947368421
9,22,18,0.6666666666666666
10,21,17,0.6470588235294118
11,22,16,0.6875
12,24,14,0.7857142857142857
13,24,14,0.7857142857142857
14,23,13,0.7692307692307693
15,23,13,0.7692307692307693
16,22,12,0.75
17,23,13,0.7692307692307693
18,23,13,0.7692307692307693
19,24,14,0.7857142857142857
20,25,15,0.8
21,26,16,0.8125
22,25,15,0.8
23,25,15,0.8
24,25,15,0.8
25,26,16,0.8125
26,25,15,0.8
27,23,11,0.8181818181818182
