,SHD,predicted edges,FDR
0,28,35,0.5142857142857142
1,27,38,0.5
2,27,38,0.5
3,23,34,0.4411764705882353
4,21,33,0.3939393939393939
5,22,33,0.42424242424242425
6,22,33,0.42424242424242425
7,24,35,0.45714285714285713
8,26,37,0.4864864864864865
9,26,37,0.4864864864864865
10,25,36,0.4722222222222222
11,26,35,0.4857142857142857
12,29,38,0.5263157894736842
13,29,38,0.5263157894736842
14,31,40,0.55
15,32,41,0.5609756097560976
16,33,42,0.5714285714285714
17,33,40,0.575
18,34,40,0.575
19,33,39,0.5641025641025641
20,31,35,0.5428571428571428
21,30,34,0.5294117647058824
22,31,35,0.5428571428571428
23,30,34,0.5294117647058824
24,30,34,0.5294117647058824
