,SHD,predicted edges,FDR
0,48,30,0.7
1,45,27,0.6666666666666666
2,44,24,0.625
3,42,19,0.631578947368421
4,37,18,0.5
5,36,17,0.47058823529411764
6,35,18,0.4444444444444444
7,36,16,0.4375
8,37,15,0.4666666666666667
9,36,14,0.42857142857142855
10,35,13,0.38461538461538464
11,33,13,0.3076923076923077
12,33,13,0.3076923076923077
13,32,14,0.2857142857142857
14,32,14,0.2857142857142857
15,33,15,0.3333333333333333
16,34,14,0.35714285714285715
17,34,14,0.35714285714285715
18,33,15,0.3333333333333333
19,32,14,0.2857142857142857
20,32,14,0.2857142857142857
21,33,13,0.3076923076923077
22,32,14,0.2857142857142857
23,33,13,0.3076923076923077
