,SHD,predicted edges,FDR
0,59,43,0.7906976744186046
1,66,52,0.8846153846153846
2,69,59,0.864406779661017
3,71,60,0.8666666666666667
4,70,55,0.8727272727272727
5,69,51,0.8823529411764706
6,66,52,0.8461538461538461
7,69,58,0.8448275862068966
8,72,60,0.8666666666666667
9,67,56,0.8392857142857143
10,68,57,0.8421052631578947
11,69,56,0.8571428571428571
12,70,53,0.8679245283018868
13,70,53,0.8679245283018868
14,69,52,0.8653846153846154
15,63,48,0.8333333333333334
16,63,49,0.8367346938775511
17,62,47,0.8297872340425532
18,62,45,0.8444444444444444
19,62,45,0.8444444444444444
20,61,42,0.8571428571428571
21,60,36,0.8611111111111112
22,62,42,0.8571428571428571
23,60,36,0.8611111111111112
24,58,33,0.8181818181818182
