,SHD,predicted edges,FDR
0,23,15,0.5333333333333333
1,23,15,0.5333333333333333
2,24,13,0.6153846153846154
3,24,7,0.7142857142857143
4,23,6,0.6666666666666666
5,22,6,0.5
6,22,6,0.5
7,22,6,0.5
8,23,7,0.5714285714285714
9,22,8,0.5
10,22,8,0.5
11,22,8,0.5
12,21,9,0.4444444444444444
13,21,9,0.4444444444444444
14,21,9,0.4444444444444444
15,21,9,0.4444444444444444
16,21,9,0.4444444444444444
17,23,9,0.5555555555555556
18,22,8,0.5
19,22,10,0.5
20,20,10,0.4
21,20,8,0.375
22,20,8,0.375
23,21,7,0.42857142857142855
24,20,8,0.375
